Year,prime rate,Fed Funds rate,comm paper adjusted 1 month,US treasury constant maturity 5 years,US treasury constant maturity 10  years
2004,4.701923077,1.685384615,1.776538462,3.504230769,4.238846154
2005,6.201923077,3.203269231,3.294807692,4.043846154,4.287692308
2006,7.961538462,4.956153846,5.035,4.749423077,4.794615385
2007,8.048076923,5.035,5.084615385,4.428269231,4.630769231
2008,5.056603774,1.950566038,1.991320755,2.787735849,3.649245283
2009,3.25,0.159230769,0.178846154,2.194423077,3.263269231
2010,3.25,0.175769231,0.185,1.9325,3.215769231
2011,3.25,0.102692308,0.120576923,1.520769231,2.780961538
2012,3.25,0.139423077,0.128269231,0.761923077,1.804615385
2013,3.25,0.109423077,0.073461538,1.164615385,2.343653846
2014,3.25,0.088490566,0.066981132,1.647358491,2.54754717
2015,3.259615385,0.133269231,0.114230769,1.532884615,2.143076923
2016,3.509615385,0.391153846,0.391923077,1.337884615,1.840576923
2017,4.091346154,0.996153846,0.997307692,1.908461538,2.328846154
2018,4.894230769,1.821538462,1.967692308,2.754615385,2.916538462
2019,5.293269231,2.170576923,2.202115385,1.954807692,2.141730769
2020,3.54245283,0.391698113,0.48509434,0.557924528,0.916603774
2021,3.25,0.079038462,0.050192308,0.841538462,1.416923077
2022,4.831730769,1.661730769,1.820961538,2.997115385,2.949615385
2023,8.1875,5.016923077,5.099423077,4.040961538,3.941730769
2024,8.5,5.33,5.380645161,4.26483871,4.287419355
